rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
1,21679,CeeDee Lamb,DAL,WR,2,NO,10.4,7.3,70.2,96.1,0.7,9.2,13.2,1.9,9.1,4.8,0.0,0.0,0.0,22.0
2,18082,Tyreek Hill,MIA,WR,2,BUF,10.3,6.6,64.1,97.7,0.7,9.5,14.8,0.3,1.0,3.3,0.0,0.0,0.0,20.7
3,18882,Cooper Kupp,LA,WR,2,ARI,10.8,7.6,70.4,88.5,0.6,8.2,11.6,0.7,4.4,6.3,0.0,0.0,0.0,20.5
4,20932,Deebo Samuel Sr.,SF,WR,2,MIN,6.4,5.0,78.1,59.4,0.5,9.3,11.9,5.6,28.1,5.0,0.3,0.1,0.1,18.4
5,21685,Justin Jefferson,MIN,WR,2,SF,10.5,6.3,60.0,87.1,0.5,8.3,13.8,0.2,0.4,2.0,0.0,0.1,0.1,17.9
6,22587,Amon-Ra St. Brown,DET,WR,2,TB,9.3,6.3,67.7,79.5,0.5,8.5,12.6,0.4,2.4,6.0,0.0,0.0,0.0,17.5
7,22564,Ja'Marr Chase,CIN,WR,2,KC,9.6,6.5,67.7,77.5,0.5,8.1,11.9,0.1,0.8,8.0,0.0,0.0,0.0,17.3
8,24120,Rashee Rice,KC,WR,2,CIN,8.5,6.0,70.6,71.7,0.6,8.4,12.0,0.0,0.0,,0.0,0.0,0.0,16.8
9,23122,Garrett Wilson,NYJ,WR,2,TEN,9.3,6.1,65.6,73.9,0.5,7.9,12.1,0.1,0.1,1.0,0.0,0.0,0.0,16.5
10,21042,A.J. Brown,PHI,WR,2,ATL,8.3,5.4,65.1,78.9,0.5,9.5,14.6,0.0,0.0,,0.0,0.0,0.0,16.3
11,21756,Nico Collins,HOU,WR,2,CHI,7.6,5.1,67.1,73.3,0.5,9.6,14.4,0.1,0.2,4.0,0.0,0.0,0.0,15.4
12,16597,Mike Evans,TB,WR,2,DET,7.7,4.8,62.3,69.6,0.6,9.0,14.5,0.0,0.0,,0.0,0.0,0.0,15.4
13,21687,DeVonta Smith,PHI,WR,2,ATL,7.7,5.7,74.0,72.2,0.4,9.4,12.7,0.0,0.0,,0.0,0.0,0.0,15.3
14,19844,DJ Moore,CHI,WR,2,HOU,7.8,5.0,64.1,68.6,0.4,8.8,13.7,0.4,3.0,7.5,0.0,0.0,0.0,14.6
15,22598,Jaylen Waddle,MIA,WR,2,BUF,7.5,4.9,65.3,68.8,0.4,9.2,14.0,0.4,1.4,3.5,0.0,0.0,0.0,14.3
16,24953,Malik Nabers,NYG,WR,2,WAS,7.7,5.2,67.5,64.1,0.4,8.3,12.3,0.2,1.4,7.0,0.0,0.0,0.0,14.2
17,18880,Chris Godwin,TB,WR,2,DET,8.0,5.4,67.5,66.1,0.3,8.3,12.2,0.1,0.7,7.0,0.0,0.0,0.0,13.9
18,16470,Davante Adams,LV,WR,2,BAL,9.3,5.2,55.9,62.6,0.4,6.7,12.0,0.0,0.0,,0.0,0.0,0.0,13.9
19,16906,Stefon Diggs,HOU,WR,2,CHI,7.3,5.0,68.5,56.1,0.5,7.7,11.2,0.4,1.5,3.8,0.0,0.0,0.0,13.8
20,21747,Brandon Aiyuk,SF,WR,2,MIN,6.7,4.6,68.7,66.6,0.4,9.9,14.5,0.0,0.1,5.0,0.0,0.0,0.0,13.7
21,23151,Drake London,ATL,WR,2,PHI,8.1,4.8,59.3,61.8,0.4,7.6,12.9,0.0,0.0,,0.0,0.0,0.0,13.4
22,23153,George Pickens,PIT,WR,2,DEN,6.8,4.2,61.8,65.0,0.4,9.6,15.5,0.1,0.7,7.0,0.0,0.0,0.0,13.2
23,23120,Zay Flowers,BAL,WR,2,LV,7.1,4.7,66.2,53.2,0.4,7.5,11.3,0.9,5.4,6.0,0.0,0.0,0.0,13.0
24,22565,Chris Olave,NO,WR,2,DAL,8.1,4.8,59.3,63.2,0.3,7.8,13.2,0.0,0.0,,0.0,0.0,0.0,12.9
25,24176,Tank Dell,HOU,WR,2,CHI,6.8,4.2,61.8,55.2,0.4,8.1,13.1,1.4,6.7,4.8,0.0,0.0,0.0,12.8
26,24974,Marvin Harrison Jr.,ARI,WR,2,LA,7.2,4.4,61.1,59.3,0.4,8.2,13.5,0.1,0.6,6.0,0.0,0.0,0.0,12.8
27,21744,Michael Pittman Jr.,IND,WR,2,GB,7.8,5.1,65.4,57.6,0.3,7.4,11.3,0.0,0.0,,0.0,0.0,0.0,12.7
28,23234,Jameson Williams,DET,WR,2,TB,6.0,3.9,65.0,58.2,0.4,9.7,14.9,0.7,5.1,7.3,0.0,0.0,0.0,12.6
29,20873,Terry McLaurin,WAS,WR,2,NYG,7.0,4.6,65.7,61.1,0.3,8.7,13.3,0.0,0.1,5.0,0.0,0.0,0.0,12.5
30,20875,DK Metcalf,SEA,WR,2,NE,7.2,4.1,56.9,59.9,0.4,8.3,14.6,0.0,0.0,,0.0,0.0,0.0,12.5
31,24924,Xavier Worthy,KC,WR,2,CIN,5.8,3.5,60.3,52.3,0.4,9.0,14.9,1.4,6.8,4.8,0.1,0.0,0.0,12.4
32,25097,Ladd McConkey,LAC,WR,2,CAR,5.9,4.6,78.0,52.6,0.4,8.9,11.4,0.0,0.0,,0.0,0.0,0.0,12.3
33,16765,Amari Cooper,CLE,WR,2,JAC,7.4,4.2,56.8,57.6,0.3,7.8,13.7,0.0,0.0,,0.0,0.0,0.0,11.8
34,19815,Christian Kirk,JAC,WR,2,CLE,7.1,4.3,60.6,55.7,0.3,7.8,13.0,0.1,0.6,6.0,0.0,0.0,0.0,11.7
35,19802,Calvin Ridley,TEN,WR,2,NYJ,7.3,4.0,54.8,53.2,0.4,7.3,13.3,0.1,0.1,1.0,0.0,0.0,0.0,11.7
36,16830,Tyler Lockett,SEA,WR,2,NE,6.4,4.5,70.3,51.6,0.3,8.1,11.5,0.0,0.0,,0.0,0.0,0.0,11.5
37,16568,Brandin Cooks,DAL,WR,2,NO,5.6,4.0,71.4,47.9,0.4,8.6,12.0,0.4,2.1,5.2,0.0,0.0,0.0,11.4
38,24933,Brian Thomas Jr.,JAC,WR,2,CLE,6.4,4.0,62.5,49.9,0.4,7.8,12.5,0.0,0.0,,0.0,0.0,0.0,11.4
39,15076,Keenan Allen,CHI,WR,2,HOU,7.7,4.2,54.5,53.8,0.3,7.0,12.8,0.0,0.0,,0.0,0.0,0.0,11.4
40,21077,Diontae Johnson,CAR,WR,2,LAC,7.4,4.1,55.4,51.0,0.3,6.9,12.4,0.0,0.1,5.0,0.0,0.0,0.0,11.0
41,23157,Jaxon Smith-Njigba,SEA,WR,2,NE,6.3,4.1,65.1,48.8,0.3,7.7,11.9,0.0,0.0,,0.0,0.0,0.0,10.8
42,23170,Wan'Dale Robinson,NYG,WR,2,WAS,6.2,4.8,77.4,42.5,0.2,6.9,8.9,0.7,4.9,7.0,0.0,0.0,0.0,10.7
43,23729,Rashid Shaheed,NO,WR,2,DAL,5.6,3.4,60.7,53.2,0.3,9.5,15.6,0.2,1.5,7.5,0.0,0.0,0.0,10.7
44,19800,Courtland Sutton,DEN,WR,2,PIT,6.9,3.9,56.5,49.6,0.3,7.2,12.7,0.0,0.0,,0.0,0.0,0.0,10.7
45,24964,Keon Coleman,BUF,WR,2,MIA,5.9,3.8,64.4,48.5,0.3,8.2,12.8,0.1,0.5,5.0,0.0,0.0,0.0,10.5
46,18047,Demarcus Robinson,LA,WR,2,ARI,5.9,3.7,62.7,49.6,0.3,8.4,13.4,0.0,0.0,,0.0,0.0,0.0,10.5
47,23233,Jayden Reed,GB,WR,2,IND,5.7,3.3,57.9,38.5,0.3,6.8,11.7,1.9,8.9,4.8,0.1,0.0,0.0,10.4
48,23227,Khalil Shakir,BUF,WR,2,MIA,5.2,3.7,71.2,48.4,0.3,9.3,13.1,0.1,0.3,4.3,0.0,0.0,0.0,10.4
49,21071,Greg Dortch,ARI,WR,2,LA,5.6,3.7,66.1,40.5,0.3,7.2,10.9,0.3,1.9,6.3,0.0,0.0,0.0,9.7
50,20145,Allen Lazard,NYJ,WR,2,TEN,4.6,3.3,71.7,45.7,0.3,9.9,13.8,0.0,0.0,,0.0,0.0,0.0,9.7
51,22613,Joshua Palmer,LAC,WR,2,CAR,5.4,3.3,61.1,45.0,0.3,8.3,13.6,0.1,0.6,6.0,0.0,0.0,0.0,9.7
52,24119,Andrei Iosivas,CIN,WR,2,KC,5.3,3.7,69.8,40.9,0.3,7.7,11.1,0.0,0.0,,0.0,0.0,0.0,9.6
53,20876,Jakobi Meyers,LV,WR,2,BAL,6.1,3.4,55.7,43.4,0.2,7.1,12.8,0.5,2.3,4.6,0.0,0.0,0.0,9.2
54,15534,Adam Thielen,CAR,WR,2,LAC,5.6,3.8,67.9,41.2,0.2,7.4,10.8,0.0,0.0,,0.0,0.0,0.0,9.1
55,21735,Gabe Davis,JAC,WR,2,CLE,5.5,3.0,54.5,42.4,0.3,7.7,14.1,0.0,0.0,,0.0,0.0,0.0,9.0
56,21692,Jerry Jeudy,CLE,WR,2,JAC,5.7,3.3,57.9,43.9,0.2,7.7,13.3,0.0,0.1,5.0,0.0,0.0,0.0,8.9
57,23368,Jalen Nailor,MIN,WR,2,SF,3.9,2.6,66.7,37.1,0.3,9.5,14.3,0.0,0.0,,0.0,0.0,0.0,8.1
58,24180,Demario Douglas,NE,WR,2,SEA,5.1,3.1,60.8,37.1,0.2,7.3,12.0,0.1,0.8,8.0,0.0,0.0,0.0,8.1
59,21675,Tyler Johnson,LA,WR,2,ARI,4.9,3.1,63.3,37.3,0.2,7.6,12.0,0.0,0.1,5.0,0.0,0.0,0.0,8.0
60,19017,Josh Reynolds,DEN,WR,2,PIT,4.9,3.1,63.3,36.9,0.2,7.5,11.9,0.0,0.0,,0.0,0.0,0.0,8.0
61,23232,Alec Pierce,IND,WR,2,GB,4.1,2.8,68.3,39.8,0.2,9.7,14.2,0.0,0.0,,0.0,0.0,0.0,8.0
62,24226,Quentin Johnston,LAC,WR,2,CAR,4.3,3.1,72.1,36.6,0.2,8.5,11.8,0.0,0.1,5.0,0.0,0.0,0.0,8.0
63,21961,Darnell Mooney,ATL,WR,2,PHI,5.4,2.8,51.9,39.1,0.2,7.2,14.0,0.0,0.1,5.0,0.0,0.0,0.0,7.9
64,23155,Jahan Dotson,WAS,WR,2,NYG,4.9,2.8,57.8,34.6,0.2,7.1,12.3,0.0,0.3,7.0,0.0,0.0,0.0,7.8
65,14986,DeAndre Hopkins,TEN,WR,2,NYJ,4.8,3.0,62.5,35.5,0.2,7.4,11.8,0.0,0.0,,0.0,0.0,0.0,7.8
66,25098,Jalen McMillan,TB,WR,2,DET,4.6,2.5,54.3,33.7,0.3,7.3,13.5,0.0,0.1,5.0,0.0,0.0,0.0,7.7
67,21717,Jauan Jennings,SF,WR,2,MIN,3.7,2.9,78.4,34.6,0.2,9.4,11.9,0.0,0.0,,0.0,0.0,0.0,7.6
68,24954,Adonai Mitchell,IND,WR,2,GB,4.8,2.8,58.3,35.0,0.2,7.3,12.5,0.0,0.0,,0.0,0.0,0.0,7.5
69,24987,Luke McCaffrey,WAS,WR,2,NYG,4.4,3.1,70.5,30.9,0.2,7.0,10.0,0.1,0.1,1.0,0.0,0.0,0.0,7.4
70,22623,Rashod Bateman,BAL,WR,2,LV,4.1,2.4,58.5,37.5,0.2,9.1,15.6,0.1,0.3,4.3,0.0,0.0,0.0,7.4
71,19961,Ray-Ray McCloud III,ATL,WR,2,PHI,4.0,2.9,72.5,32.3,0.2,8.1,11.1,0.1,0.2,2.0,0.0,0.0,0.0,7.3
72,23395,Christian Watson,GB,WR,2,IND,5.4,2.5,46.3,32.0,0.2,5.9,12.8,0.7,3.3,4.7,0.0,0.0,0.0,7.2
73,24173,Michael Wilson,ARI,WR,2,LA,4.7,2.6,55.3,32.9,0.2,7.0,12.7,0.0,0.0,,0.0,0.0,0.0,7.1
74,23167,Romeo Doubs,GB,WR,2,IND,5.0,2.8,56.0,30.2,0.2,6.0,10.8,0.0,0.0,,0.0,0.0,0.0,7.0
75,22592,Elijah Moore,CLE,WR,2,JAC,5.0,2.8,56.0,27.7,0.2,5.5,9.9,0.1,0.7,7.0,0.0,0.0,0.0,6.8
76,25003,Xavier Legette,CAR,WR,2,LAC,5.0,2.5,50.0,30.0,0.2,6.0,12.0,0.1,0.7,7.0,0.0,0.0,0.0,6.8
77,17986,Tyler Boyd,TEN,WR,2,NYJ,4.4,3.0,68.2,28.5,0.1,6.5,9.5,0.0,0.0,,0.0,0.0,0.0,6.5
78,21714,K.J. Osborn,NE,WR,2,SEA,3.8,2.6,68.4,26.3,0.2,6.9,10.1,0.0,0.0,,0.0,0.0,0.0,6.4
79,20943,Darius Slayton,NYG,WR,2,WAS,3.9,2.3,59.0,27.9,0.2,7.2,12.1,0.0,0.0,,0.0,0.0,0.0,6.3
80,18914,Mike Williams,NYJ,WR,2,TEN,2.6,2.1,80.8,27.7,0.2,10.7,13.2,0.0,0.0,,0.0,0.0,0.0,6.1
81,24952,Ja'Lynn Polk,NE,WR,2,SEA,4.6,2.4,52.2,30.4,0.1,6.6,12.7,0.1,0.0,0.0,0.0,0.0,0.0,6.0
82,21263,Trenton Irwin,CIN,WR,2,KC,3.8,2.1,55.3,26.6,0.2,7.0,12.7,0.0,0.0,,0.0,0.0,0.0,6.0
83,22597,Jalen Tolbert,DAL,WR,2,NO,3.7,2.0,54.1,24.4,0.2,6.6,12.2,0.0,0.0,,0.0,0.0,0.0,5.6
84,21739,Van Jefferson,PIT,WR,2,DEN,2.6,2.0,76.9,23.3,0.2,9.0,11.7,0.0,0.0,,0.0,0.0,0.0,5.5
85,23469,Tyquan Thornton,NE,WR,2,SEA,3.8,2.0,52.6,26.1,0.1,6.9,13.1,0.0,0.1,5.0,0.0,0.0,0.0,5.2
86,19023,Mack Hollins,BUF,WR,2,MIA,2.8,1.7,60.7,22.9,0.2,8.2,13.5,0.0,0.0,,0.0,0.0,0.0,5.2
87,18928,Curtis Samuel,BUF,WR,2,MIA,3.5,2.2,62.9,22.5,0.1,6.4,10.2,0.1,0.9,9.0,0.0,0.0,0.0,5.1
88,24177,Tre Tucker,LV,WR,2,BAL,3.6,1.8,50.0,23.5,0.1,6.5,13.1,0.5,3.0,6.0,0.0,0.0,0.0,5.0
89,18422,Kalif Raymond,DET,WR,2,TB,2.8,1.8,64.3,23.9,0.1,8.5,13.3,0.3,1.3,4.3,0.0,0.0,0.0,4.9
90,23161,Jonathan Mingo,CAR,WR,2,LAC,3.8,1.9,50.0,22.7,0.1,6.0,11.9,0.2,1.2,6.0,0.0,0.0,0.0,4.9
91,19922,Justin Watson,KC,WR,2,CIN,2.4,1.8,75.0,24.8,0.1,10.3,13.8,0.0,0.0,,0.0,0.0,0.0,4.9
92,21142,Olamide Zaccheaus,WAS,WR,2,NYG,2.9,1.7,58.6,22.6,0.1,7.8,13.3,0.0,0.0,,0.0,0.0,0.0,4.6
93,19207,Tim Patrick,DEN,WR,2,PIT,3.4,1.7,50.0,21.4,0.1,6.3,12.6,0.1,0.2,2.0,0.0,0.0,0.0,4.5
94,23165,Marvin Mims Jr.,DEN,WR,2,PIT,2.2,1.5,68.2,18.9,0.1,8.6,12.6,0.3,1.5,5.0,0.0,0.0,0.0,4.1
95,22566,Calvin Austin III,PIT,WR,2,DEN,2.0,1.5,75.0,16.3,0.1,8.2,10.9,0.1,0.7,7.0,0.0,0.0,0.0,3.8
96,19080,Noah Brown,HOU,WR,2,CHI,2.2,1.3,59.1,18.2,0.1,8.3,14.0,0.0,0.1,5.0,0.0,0.0,0.0,3.7
97,20487,Brandon Powell,MIN,WR,2,SF,3.5,1.5,42.9,15.5,0.1,4.4,10.3,0.1,0.2,4.0,0.0,0.0,0.0,3.7
98,24977,Rome Odunze,CHI,WR,2,HOU,2.0,0.0,0.0,23.9,0.2,11.9,,0.0,0.0,,0.0,0.0,0.0,3.6
